,nB/n0,sigma field (MeV),rho field (MeV),omega field (MeV),phi field (MeV),Neutron kF (MeV),Proton kF (MeV),electron kF (MeV),muon kF (MeV),Sigma - kF (MeV),Lambda kF (MeV),Sigma 0 kF (MeV),Neutron frac,Proton frac,electron frac,muon frac,Sigma - frac,Lambda frac,Sigma 0 frac
532,5.59000000,12560252.74411148,-281888991838885664.00000000,-2344277998740771840.00000000,45820.01441722,-35234209.71495757,36678951.72106950,30277853615191228.00000000,30395198245501524.00000000,-38221770569467864.00000000,121909006673390464.00000000,-120643525837118480.00000000,-224796744943092.68750000,253598779363651.81250000,142649964661905936599173511994632835170304.00000000,144314960378612869389468058065922280128512.00000000,-286964925040518805988641570060555115298816.00000000,9311160039983082075347993442118353066917888.00000000,-9024195114942563153302473189053397179826176.00000000
533,5.60000000,12560252.74411148,-281888991838885664.00000000,-2344277998740771840.00000000,45820.01441722,-35234209.71495757,36678951.72106950,30277853615191228.00000000,30395198245501524.00000000,-38221770569467864.00000000,121909006673390464.00000000,-120643525837118480.00000000,-224395322184265.71875000,253145924400502.43750000,142395232582152531897494144833880982552576.00000000,144057255092222474827529933707518989565952.00000000,-286452487674374968039397850873266381520896.00000000,9294532968483111085568012503897625168183296.00000000,-9008080480808737355468653938404633685786624.00000000
534,5.61000000,12560252.74411148,-281888991838885664.00000000,-2344277998740771840.00000000,45820.01441722,-35234209.71495757,36678951.72106950,30277853615191228.00000000,30395198245501524.00000000,-38221770569467864.00000000,121909006673390464.00000000,-120643525837118480.00000000,-223995330522618.18750000,252694683893549.68750000,142141408638155821860454726417834471063552.00000000,143800468541255966039506329546279455031296.00000000,-285941877179411749214334828295980335497216.00000000,9277965173530379772180381095921599956123648.00000000,-8992023296350968564564813454979489888993280.00000000
535,5.62000000,12560252.74411148,-281888991838885664.00000000,-2344277998740771840.00000000,45820.01441722,-35234209.71495757,36678951.72106950,30277853615191228.00000000,30395198245501524.00000000,-38221770569467864.00000000,121909006673390464.00000000,-120643525837118480.00000000,-223596762318841.28125000,252245049224699.90625000,141888487982216037965086214359077793824768.00000000,143544595821431648754017855826044553003008.00000000,-285433083803647667376290956351055551528960.00000000,9261456338702032768491127405919139283337216.00000000,-8976023254898385487971098726249419637784576.00000000
536,5.63000000,12560252.74411148,-281888991838885664.00000000,-2344277998740771840.00000000,45820.01441722,-35234209.71495757,36678951.72106950,30277853615191228.00000000,30395198245501524.00000000,-38221770569467864.00000000,121909006673390464.00000000,-120643525837118480.00000000,-223199609987902.00000000,251797011837089.50000000,141636465801075360118604302444372082819072.00000000,143289632063311914214506469213506061205504.00000000,-284926097864387235647484543989744553426944.00000000,9245006149823346005589551620723061970436096.00000000,-8960080051958958150972047434043179967447040.00000000
537,5.64000000,12560252.74411148,-281888991838885664.00000000,-2344277998740771840.00000000,45820.01441722,-35234209.71495757,36678951.72106950,30277853615191228.00000000,30395198245501524.00000000,-38221770569467864.00000000,121909006673390464.00000000,-120643525837118480.00000000,-222803865998561.75000000,251350563234541.46875000,141385337315612474296528866885890545287168.00000000,143035572431993986283171493738283421138944.00000000,-284420909747606441236887246790107171127296.00000000,9228614294947772356854984881619044822679552.00000000,-8944193385200167463043146741554281275457536.00000000
538,5.65000000,12560252.74411148,-281888991838885664.00000000,-2344277998740771840.00000000,45820.01441722,-35234209.71495757,36678951.72106950,30277853615191228.00000000,30395198245501524.00000000,-38221770569467864.00000000,121909006673390464.00000000,-120643525837118480.00000000,-222409522872900.56250000,250905694981029.00000000,141135097780540592544350788870410258612224.00000000,142782412126804614478780863882626741567488.00000000,-283917509907345187680318538918970204880896.00000000,9212280464337244773991719598791702664445952.00000000,-8928362954429900089224542019558469137334272.00000000
539,5.66000000,12560252.74411148,-281888991838885664.00000000,-2344277998740771840.00000000,45820.01441722,-35234209.71495757,36678951.72106950,30277853615191228.00000000,30395198245501524.00000000,-38221770569467864.00000000,121909006673390464.00000000,-120643525837118480.00000000,-222016573185845.90625000,250462398700143.68750000,140885742484108490458044535222924031819776.00000000,142530146380997494351131418274537939140608.00000000,-283415888865105965466362839663395175661568.00000000,9196004350442652734669439719009154251096064.00000000,-8912588461577547581601227660376564477984768.00000000
540,5.67000000,12560252.74411148,-281888991838885664.00000000,-2344277998740771840.00000000,45820.01441722,-35234209.71495757,36678951.72106950,30277853615191228.00000000,30395198245501524.00000000,-38221770569467864.00000000,121909006673390464.00000000,-120643525837118480.00000000,-221625009564706.87500000,250020666074570.31250000,140637266747804968342501887700075034968064.00000000,142278770461454304961561480351382599892992.00000000,-282916037209259253961250254217390839562240.00000000,9179785647884555136711154500940093913563136.00000000,-8896869610675296153549287840399638208184320.00000000
541,5.68000000,12560252.74411148,-281888991838885664.00000000,-2344277998740771840.00000000,45820.01441722,-35234209.71495757,36678951.72106950,30277853615191228.00000000,30395198245501524.00000000,-38221770569467864.00000000,121909006673390464.00000000,-120643525837118480.00000000,-221234824688712.68750000,249580488845565.81250000,140389665926065884964109812214475203280896.00000000,142028279668388376986046920456586001383424.00000000,-282417945594454223264530505002927614066688.00000000,9163624053434055362426278675286874988216320.00000000,-8881206107839600907047990804275145830563840.00000000
542,5.69000000,12560252.74411148,-281888991838885664.00000000,-2344277998740771840.00000000,45820.01441722,-35234209.71495757,36678951.72106950,30277853615191228.00000000,30395198245501524.00000000,-38221770569467864.00000000,121909006673390464.00000000,-120643525837118480.00000000,-220846011288556.78125000,249141858812445.28125000,140142935405984924466259298033915133952000.00000000,141778669335052016609975732574953446309888.00000000,-281921604741036902390608802940734989664256.00000000,9147519265993923930951569680973573071568896.00000000,-8865597661252887840959111659063643484454912.00000000
543,5.70000000,12560252.74411148,-281888991838885664.00000000,-2344277998740771840.00000000,45820.01441722,-35234209.71495757,36678951.72106950,30277853615191228.00000000,30395198245501524.00000000,-38221770569467864.00000000,121909006673390464.00000000,-120643525837118480.00000000,-220458562145945.28125000,248704767832072.59375000,139897070607027051935877019915858529484800.00000000,141529934827446672816450344675809505050624.00000000,-281427005434473686066701136923534443937792.00000000,9131470986579900651897761281473909647998976.00000000,-8850043981145426695031676550873440069877760.00000000
544,5.71000000,12560252.74411148,-281888991838885664.00000000,-2344277998740771840.00000000,45820.01441722,-35234209.71495757,36678951.72106950,30277853615191228.00000000,30395198245501524.00000000,-38221770569467864.00000000,121909006673390464.00000000,-120643525837118480.00000000,-220072470093150.31250000,248269207818356.18750000,139652066980745063820055213692623888842752.00000000,141282071544036083467809459502423734222848.00000000,-280934138524781108602238445526914032467968.00000000,9115478918302177518241932846659310989606912.00000000,-8834544779777396912552835360818133634908160.00000000
545,5.72000000,12560252.74411148,-281888991838885664.00000000,-2344277998740771840.00000000,45820.01441722,-35234209.71495757,36678951.72106950,30277853615191228.00000000,30395198245501524.00000000,-38221770569467864.00000000,121909006673390464.00000000,-120643525837118480.00000000,-219687728012567.87500000,247835170741750.68750000,139407920010499001079022399298451902824448.00000000,141035074915462612951313677982457619546112.00000000,-280442994925961575344709849612775931772928.00000000,9099542766347104428426950003096448898433024.00000000,-8819099771421143007824745064156207329050624.00000000
546,5.73000000,12560252.74411148,-281888991838885664.00000000,-2344277998740771840.00000000,45820.01441722,-35234209.71495757,36678951.72106950,30277853615191228.00000000,30395198245501524.00000000,-38221770569467864.00000000,121909006673390464.00000000,-120643525837118480.00000000,-219304328836280.65625000,247402648628763.31250000,139164625211178753903277886417594073743360.00000000,140788940404266317161480173241829655838720.00000000,-279953565615445051721944945825356934283264.00000000,9083662237959063268306248096062167729569792.00000000,-8803708672343619338467463752612684922617856.00000000
547,5.74000000,12560252.74411148,-281888991838885664.00000000,-2344277998740771840.00000000,45820.01441722,-35234209.71495757,36678951.72106950,30277853615191228.00000000,30395198245501524.00000000,-38221770569467864.00000000,121909006673390464.00000000,-120643525837118480.00000000,-218922265545625.06250000,246971633561465.78125000,138922178128929297053309761565485495746560.00000000,140543663504607296760646716409935627812864.00000000,-279465841633536555128330250307287532961792.00000000,9067837042422547491135137024684044668895232.00000000,-8788371200789011903147462466080096900874240.00000000
548,5.75000000,12560252.74411148,-281888991838885664.00000000,-2344277998740771840.00000000,45820.01441722,-35234209.71495757,36678951.72106950,30277853615191228.00000000,30395198245501524.00000000,-38221770569467864.00000000,121909006673390464.00000000,-120643525837118480.00000000,-218541531170763.12500000,246542117677011.06250000,138680574340878981363784860952471292346368.00000000,140299239741990603690866728521685870313472.00000000,-278979814082869565711838475640090367361024.00000000,9052066891044422436807841742601085282942976.00000000,-8773087076961553257952265543642330821558272.00000000
549,5.76000000,12560252.74411148,-281888991838885664.00000000,-2344277998740771840.00000000,45820.01441722,-35234209.71495757,36678951.72106950,30277853615191228.00000000,30395198245501524.00000000,-38221770569467864.00000000,121909006673390464.00000000,-120643525837118480.00000000,-218162118790258.34375000,246114093167155.15625000,138439809454870513898761566282817600487424.00000000,140055664672994087793397635197695413977088.00000000,-278495474127864582349346087646446219165696.00000000,9036351497136358962700042711862904946163712.00000000,-8757856023008494651150080217893393861181440.00000000
550,5.77000000,12560252.74411148,-281888991838885664.00000000,-2344277998740771840.00000000,45820.01441722,-35234209.71495757,36678951.72106950,30277853615191228.00000000,30395198245501524.00000000,-38221770569467864.00000000,121909006673390464.00000000,-120643525837118480.00000000,-217784021530656.50000000,245687552277784.00000000,138199879109194820186056561829675054137344.00000000,139812933884999299592661207107027788103680.00000000,-278012812994194100435904655102636046942208.00000000,9020690575997473810497977015334818421932032.00000000,-8742677763003279942175829726240983918575616.00000000
551,5.78000000,12560252.74411148,-281888991838885664.00000000,-2344277998740771840.00000000,45820.01441722,-35234209.71495757,36678951.72106950,30277853615191228.00000000,30395198245501524.00000000,-38221770569467864.00000000,121909006673390464.00000000,-120643525837118480.00000000,-217407232566070.59375000,245262487308445.28125000,137960778972327711159513097449727586205696.00000000,139571042995924907645908698858622212374528.00000000,-277531821968252618805421796308349798580224.00000000,9005083844897133381112725139299216127950848.00000000,-8727552022928880452822293521645797604589568.00000000
552,5.79000000,12560252.74411148,-281888991838885664.00000000,-2344277998740771840.00000000,45820.01441722,-35234209.71495757,36678951.72106950,30277853615191228.00000000,30395198245501524.00000000,-38221770569467864.00000000,121909006673390464.00000000,-120643525837118480.00000000,-217031745117769.96875000,244838890611884.93750000,137722504742669122695413391528725005205504.00000000,139329987653963036657666176836806878691328.00000000,-277052492396632140010266454531465088598016.00000000,8989531023057933297080076280055976077295616.00000000,-8712478530661301892096708151219049210052608.00000000
553,5.80000000,12560252.74411148,-281888991838885664.00000000,-2344277998740771840.00000000,45820.01441722,-35234209.71495757,36678951.72106950,30277853615191228.00000000,30395198245501524.00000000,-38221770569467864.00000000,121909006673390464.00000000,-120643525837118480.00000000,-216657552453773.84375000,244416754593588.59375000,137485052148285217885231881368901276139520.00000000,139089763537318294245202669972096779550720.00000000,-276574815685603473444808323672864465092608.00000000,8974031831638868607726443599085210284589056.00000000,-8697457015953265830622907373438750450253824.00000000
554,5.81000000,12560252.74411148,-281888991838885664.00000000,-2344277998740771840.00000000,45820.01441722,-35234209.71495757,36678951.72106950,30277853615191228.00000000,30395198245501524.00000000,-38221770569467864.00000000,121909006673390464.00000000,-120643525837118480.00000000,-216284647888448.93750000,243996071711327.71875000,137248416946653081245345727341343371427840.00000000,138850366353949428326581801945075697057792.00000000,-276098783300602490229114415452352273186816.00000000,8958585993718664926539886577645748058324992.00000000,-8682487210418062010768883657843926288564224.00000000
