,nB/n0,sigma field (MeV),rho field (MeV),omega field (MeV),phi field (MeV),Neutron kF (MeV),Proton kF (MeV),electron kF (MeV),muon kF (MeV),Lambda kF (MeV),Neutron frac,Proton frac,electron frac,muon frac,Lambda frac
469,4.96000000,62.52382813,-16.55764211,74.87337319,-6.72020954,456.55171352,300.47658129,249.64039471,226.18281162,369.28631536,0.55118384,0.15712975,0.09010961,0.06702014,0.29168640
470,4.97000000,62.58166898,-16.56251041,74.99958842,-6.75437523,456.64129835,300.60953086,249.74144905,226.29434145,369.91107777,0.55039869,0.15702184,0.09003756,0.06698428,0.29257947
471,4.98000000,62.63941090,-16.56735952,75.12576812,-6.78857053,456.73060782,300.74209935,249.84221708,226.40554551,370.53427553,0.54961583,0.15691395,0.08996557,0.06694838,0.29347022
472,4.99000000,62.69705417,-16.57218955,75.25191242,-6.82279534,456.81964319,300.87428835,249.94269999,226.51642519,371.15591899,0.54883524,0.15680608,0.08989366,0.06691243,0.29435868
473,5.00000000,62.75459907,-16.57700061,75.37802144,-6.85704955,456.90840570,301.00609946,250.04289895,226.62698188,371.77601841,0.54805691,0.15669824,0.08982181,0.06687643,0.29524485
474,5.01000000,62.81204585,-16.58179278,75.50409529,-6.89133305,456.99689659,301.13753424,250.14281512,226.73721696,372.39458393,0.54728085,0.15659041,0.08975003,0.06684038,0.29612874
475,5.02000000,62.86939481,-16.58656617,75.63013411,-6.92564576,457.08511709,301.26859425,250.24244966,226.84713181,373.01162557,0.54650702,0.15648261,0.08967832,0.06680429,0.29701037
476,5.03000000,62.92664619,-16.59132088,75.75613801,-6.95998758,457.17306843,301.39928104,250.34180371,226.95672778,373.62715327,0.54573543,0.15637484,0.08960668,0.06676816,0.29788973
477,5.04000000,62.98380028,-16.59605700,75.88210710,-6.99435840,457.26075180,301.52959615,250.44087841,227.06600621,374.24117685,0.54496607,0.15626709,0.08953510,0.06673199,0.29876684
478,5.05000000,63.04085734,-16.60077464,76.00804151,-7.02875812,457.34816843,301.65954111,250.53967489,227.17496846,374.85370600,0.54419892,0.15615937,0.08946360,0.06669577,0.29964171
479,5.06000000,63.09781764,-16.60547388,76.13394134,-7.06318665,457.43531949,301.78911743,250.63819428,227.28361585,375.46475034,0.54343398,0.15605167,0.08939217,0.06665951,0.30051435
480,5.07000000,63.15468144,-16.61015483,76.25980673,-7.09764390,457.52220618,301.91832663,250.73643770,227.39194970,376.07431939,0.54267123,0.15594401,0.08932080,0.06662320,0.30138477
481,5.08000000,63.21144901,-16.61481757,76.38563777,-7.13212976,457.60882966,302.04717020,250.83440624,227.49997133,376.68242255,0.54191066,0.15583637,0.08924951,0.06658686,0.30225297
482,5.09000000,63.26812060,-16.61946220,76.51143459,-7.16664415,457.69519112,302.17564963,250.93210102,227.60768204,377.28906913,0.54115227,0.15572876,0.08917828,0.06655048,0.30311896
483,5.10000000,63.32469648,-16.62408882,76.63719730,-7.20118696,457.78129170,302.30376639,251.02952312,227.71508311,377.89426835,0.54039605,0.15562119,0.08910713,0.06651406,0.30398276
484,5.11000000,63.38117691,-16.62869751,76.76292601,-7.23575810,457.86713256,302.43152195,251.12667363,227.82217585,378.49802931,0.53964198,0.15551364,0.08903604,0.06647760,0.30484438
485,5.12000000,63.43756215,-16.63328838,76.88862084,-7.27035748,457.95271484,302.55891777,251.22355363,227.92896152,379.10036106,0.53889006,0.15540613,0.08896503,0.06644110,0.30570381
486,5.13000000,63.49385246,-16.63786150,77.01428189,-7.30498502,458.03803968,302.68595529,251.32016419,228.03544139,379.70127251,0.53814028,0.15529864,0.08889408,0.06640456,0.30656108
487,5.14000000,63.55004809,-16.64241698,77.13990928,-7.33964060,458.12310820,302.81263595,251.41650638,228.14161672,380.30077250,0.53739262,0.15519120,0.08882321,0.06636799,0.30741618
488,5.15000000,63.60614930,-16.64695489,77.26550311,-7.37432415,458.20792152,302.93896118,251.51258124,228.24748876,380.89886979,0.53664708,0.15508378,0.08875241,0.06633138,0.30826914
489,5.16000000,63.66215634,-16.65147534,77.39106350,-7.40903557,458.29248075,303.06493240,251.60838984,228.35305875,381.49557303,0.53590365,0.15497640,0.08868167,0.06629473,0.30911995
490,5.17000000,63.71806947,-16.65597840,77.51659055,-7.44377477,458.37678699,303.19055101,251.70393322,228.45832793,382.09089080,0.53516232,0.15486906,0.08861101,0.06625805,0.30996862
491,5.18000000,63.77388895,-16.66046417,77.64208438,-7.47854166,458.46084134,303.31581841,251.79921241,228.56329751,382.68483159,0.53442308,0.15476175,0.08854042,0.06622134,0.31081517
492,5.19000000,63.82961501,-16.66493274,77.76754508,-7.51333615,458.54464488,303.44073600,251.89422844,228.66796873,383.27740378,0.53368592,0.15465448,0.08846990,0.06618459,0.31165960
493,5.20000000,63.88524792,-16.66938418,77.89297277,-7.54815815,458.62819870,303.56530515,251.98898234,228.77234278,383.86861570,0.53295083,0.15454725,0.08839944,0.06614780,0.31250193
494,5.21000000,63.94078792,-16.67381859,78.01836756,-7.58300758,458.71150386,303.68952724,252.08347512,228.87642086,384.45847558,0.53221780,0.15444005,0.08832906,0.06611099,0.31334215
495,5.22000000,63.99623526,-16.67823605,78.14372954,-7.61788435,458.79456144,303.81340363,252.17770779,228.98020418,385.04699156,0.53148682,0.15433290,0.08825875,0.06607414,0.31418028
496,5.23000000,64.05159019,-16.68263665,78.26905882,-7.65278836,458.87737248,303.93693568,252.27168136,229.08369391,385.63417173,0.53075789,0.15422578,0.08818852,0.06603726,0.31501633
497,5.24000000,64.10685296,-16.68702048,78.39435552,-7.68771954,458.95993804,304.06012472,252.36539682,229.18689123,386.22002407,0.53003100,0.15411870,0.08811835,0.06600035,0.31585030
498,5.25000000,64.16202380,-16.69138760,78.51961972,-7.72267780,459.04225916,304.18297211,252.45885517,229.28979731,386.80455650,0.52930613,0.15401166,0.08804825,0.06596341,0.31668221
499,5.26000000,64.21710297,-16.69573812,78.64485153,-7.75766304,459.12433688,304.30547915,252.55205738,229.39241332,387.38777684,0.52858328,0.15390467,0.08797823,0.06592644,0.31751205
