,nB/n0,sigma field (MeV),rho field (MeV),omega field (MeV),phi field (MeV),Neutron kF (MeV),Proton kF (MeV),electron kF (MeV),muon kF (MeV),Lambda kF (MeV),Sigma 0 kF (MeV),Neutron frac,Proton frac,electron frac,muon frac,Lambda frac,Sigma 0 frac
10,0.37000000,10.43628476,-3.05002844,6.18685228,-0.00000000,233.34662485,55.77011355,55.77011355,0.00000000,0.00000000,0.00000000,0.98653175,0.01346825,0.01346825,0.00000000,0.00000000,0.00000000
11,0.38000000,10.67622296,-3.12911777,6.35406450,0.00000000,235.38886508,56.98226243,56.98226243,0.00000000,0.00000000,0.00000000,0.98601238,0.01398762,0.01398762,0.00000000,0.00000000,0.00000000
12,0.39000000,10.91455775,-3.20799625,6.52127672,-0.00000000,237.39370800,58.18760264,58.18760264,0.00000000,0.00000000,0.00000000,0.98548774,0.01451226,0.01451226,0.00000000,0.00000000,0.00000000
13,0.40000000,11.15131958,-3.28666224,6.68848895,-0.00000000,239.36270858,59.38626405,59.38626405,0.00000000,0.00000000,0.00000000,0.98495798,0.01504202,0.01504202,0.00000000,0.00000000,0.00000000
14,0.41000000,11.38653791,-3.36511417,6.85570117,-0.00000000,241.29731973,60.57836897,60.57836897,0.00000000,0.00000000,0.00000000,0.98442324,0.01557676,0.01557676,0.00000000,0.00000000,0.00000000
15,0.42000000,11.62024125,-3.44335058,7.02291340,0.00000000,243.19890136,61.76403284,61.76403284,0.00000000,0.00000000,0.00000000,0.98388368,0.01611632,0.01611632,0.00000000,0.00000000,0.00000000
16,0.43000000,11.85245718,-3.52137004,7.19012562,0.00000000,245.06872836,62.94336481,62.94336481,0.00000000,0.00000000,0.00000000,0.98333944,0.01666056,0.01666056,0.00000000,0.00000000,0.00000000
17,0.44000000,12.08321242,-3.59917123,7.35733784,0.00000000,246.90799788,64.11646828,64.11646828,0.00000000,0.00000000,0.00000000,0.98279066,0.01720934,0.01720934,0.00000000,0.00000000,0.00000000
18,0.45000000,12.31253287,-3.67675289,7.52455007,-0.00000000,248.71783570,65.28344140,65.28344140,0.00000000,0.00000000,0.00000000,0.98223747,0.01776253,0.01776253,0.00000000,0.00000000,0.00000000
19,0.46000000,12.54044362,-3.75411382,7.69176229,-0.00000000,250.49930201,66.44437748,66.44437748,0.00000000,0.00000000,0.00000000,0.98168002,0.01831998,0.01831998,0.00000000,0.00000000,0.00000000
20,0.47000000,12.76696898,-3.83125292,7.85897451,0.00000000,252.25339659,67.59936540,67.59936540,0.00000000,0.00000000,0.00000000,0.98111842,0.01888158,0.01888158,0.00000000,0.00000000,0.00000000
21,0.48000000,12.99213256,-3.90816913,8.02618674,0.00000000,253.98106350,68.74848992,68.74848992,0.00000000,0.00000000,0.00000000,0.98055283,0.01944717,0.01944717,0.00000000,0.00000000,0.00000000
22,0.49000000,13.21595724,-3.98486147,8.19339896,-0.00000000,255.68319530,69.89183207,69.89183207,0.00000000,0.00000000,0.00000000,0.97998335,0.02001665,0.02001665,0.00000000,0.00000000,0.00000000
23,0.50000000,13.43846525,-4.06132901,8.36061118,-0.00000000,257.36063685,71.02946937,71.02946937,0.00000000,0.00000000,0.00000000,0.97941011,0.02058989,0.02058989,0.00000000,0.00000000,0.00000000
