,nB/n0,sigma field (MeV),rho field (MeV),omega field (MeV),phi field (MeV),Neutron kF (MeV),Proton kF (MeV),electron kF (MeV),Lambda kF (MeV),Sigma_0 kF (MeV),Neutron frac,Proton frac,electron frac,Lambda frac,Sigma_0 frac
283,3.10000000,49.29964702,-16.45301029,50.12398187,-1.42657021,435.17278273,245.55565043,245.55565043,220.29264291,0.00000000,0.76371567,0.13721334,0.13721334,0.09907099,0.00000000
284,3.11000000,49.38252112,-16.46757914,50.25901973,-1.45338338,435.35490031,245.79669706,245.79669706,221.66425884,0.00000000,0.76221615,0.13717531,0.13717531,0.10060854,0.00000000
285,3.12000000,49.46520056,-16.48205666,50.39395870,-1.48027897,435.53599335,246.03660449,246.03660449,223.02324605,0.00000000,0.76072166,0.13713642,0.13713642,0.10214192,0.00000000
286,3.13000000,49.54768663,-16.49644412,50.52880008,-1.50725588,435.71607594,246.27538726,246.27538726,224.36990576,0.00000000,0.75923223,0.13709667,0.13709667,0.10367110,0.00000000
287,3.14000000,49.62998063,-16.51074270,50.66354513,-1.53431307,435.89516181,246.51305950,246.51305950,225.70452781,0.00000000,0.75774786,0.13705610,0.13705610,0.10519604,0.00000000
288,3.15000000,49.71208382,-16.52495358,50.79819508,-1.56144952,436.07326430,246.74963496,246.74963496,227.02739121,0.00000000,0.75626857,0.13701472,0.13701472,0.10671671,0.00000000
289,3.16000000,49.79399744,-16.53907792,50.93275113,-1.58866422,436.25039640,246.98512704,246.98512704,228.33876471,0.00000000,0.75479435,0.13697255,0.13697255,0.10823310,0.00000000
290,3.17000000,49.87572269,-16.55311681,51.06721444,-1.61595621,436.42657074,247.21954876,247.21954876,229.63890730,0.00000000,0.75332523,0.13692962,0.13692962,0.10974516,0.00000000
291,3.18000000,49.95726076,-16.56707135,51.20158612,-1.64332455,436.60179966,247.45291284,247.45291284,230.92806873,0.00000000,0.75186119,0.13688593,0.13688593,0.11125288,0.00000000
292,3.19000000,50.03861282,-16.58094259,51.33586729,-1.67076832,436.77609515,247.68523163,247.68523163,232.20648989,0.00000000,0.75040224,0.13684152,0.13684152,0.11275624,0.00000000
293,3.20000000,50.11978002,-16.59473157,51.47005901,-1.69828664,436.94946891,247.91651722,247.91651722,233.47440331,0.00000000,0.74894839,0.13679639,0.13679639,0.11425522,0.00000000
294,3.21000000,50.20076347,-16.60843929,51.60416232,-1.72587864,437.12193234,248.14678135,248.14678135,234.73203349,0.00000000,0.74749963,0.13675056,0.13675056,0.11574981,0.00000000
295,3.22000000,50.28156427,-16.62206672,51.73817823,-1.75354348,437.29349658,248.37603551,248.37603551,235.97959734,0.00000000,0.74605596,0.13670406,0.13670406,0.11723997,0.00000000
296,3.23000000,50.36218352,-16.63561484,51.87210773,-1.78128033,437.46417248,248.60429090,248.60429090,237.21730447,0.00000000,0.74461739,0.13665690,0.13665690,0.11872572,0.00000000
297,3.24000000,50.44262228,-16.64908456,52.00595178,-1.80908839,437.63397063,248.83155846,248.83155846,238.44535757,0.00000000,0.74318389,0.13660909,0.13660909,0.12020702,0.00000000
298,3.25000000,50.52288159,-16.66247682,52.13971132,-1.83696687,437.80290139,249.05784885,249.05784885,239.66395269,0.00000000,0.74175549,0.13656064,0.13656064,0.12168387,0.00000000
299,3.26000000,50.60296247,-16.67579249,52.27338726,-1.86491503,437.97097485,249.28317250,249.28317250,240.87327957,0.00000000,0.74033215,0.13651159,0.13651159,0.12315626,0.00000000
300,3.27000000,50.68286596,-16.68903245,52.40698050,-1.89293211,438.13820089,249.50753962,249.50753962,242.07352186,0.00000000,0.73891389,0.13646192,0.13646192,0.12462419,0.00000000
301,3.28000000,50.76259303,-16.70219756,52.54049190,-1.92101738,438.30458915,249.73096015,249.73096015,243.26485746,0.00000000,0.73750069,0.13641167,0.13641167,0.12608764,0.00000000
302,3.29000000,50.84214466,-16.71528864,52.67392232,-1.94917015,438.47014906,249.95344384,249.95344384,244.44745869,0.00000000,0.73609255,0.13636085,0.13636085,0.12754661,0.00000000
303,3.30000000,50.92152183,-16.72830652,52.80727259,-1.97738971,438.63488985,250.17500020,250.17500020,245.62149260,0.00000000,0.73468945,0.13630946,0.13630946,0.12900109,0.00000000
304,3.31000000,51.00072548,-16.74125198,52.94054351,-2.00567540,438.79882053,250.39563856,250.39563856,246.78712113,0.00000000,0.73329138,0.13625753,0.13625753,0.13045109,0.00000000
305,3.32000000,51.07975654,-16.75412582,53.07373589,-2.03402654,438.96194993,250.61536802,250.61536802,247.94450135,0.00000000,0.73189835,0.13620506,0.13620506,0.13189659,0.00000000
