,nB/n0,sigma field (MeV),rho field (MeV),omega field (MeV),phi field (MeV),Neutron kF (MeV),Proton kF (MeV),electron kF (MeV),muon kF (MeV),Lambda kF (MeV),Sigma_0 kF (MeV),Neutron frac,Proton frac,electron frac,muon frac,Lambda frac,Sigma_0 frac
701,7.28000000,74.12714341,-16.67020115,102.20740300,-16.26997624,464.14448859,315.79686618,261.30659350,238.99680627,455.03004249,302.60778821,0.39458124,0.12427973,0.07040896,0.05387076,0.37178944,0.10934959
702,7.29000000,74.17032789,-16.66946544,102.32231365,-16.31356285,464.15874979,315.83777281,261.33779873,239.03092404,455.32987454,303.11752240,0.39407630,0.12415748,0.07033757,0.05381991,0.37201387,0.10975235
703,7.30000000,74.21346335,-16.66872261,102.43720488,-16.35716562,464.17289374,315.87851527,261.36887902,239.06490441,455.62929836,303.62601739,0.39357245,0.12403539,0.07026628,0.05376911,0.37223764,0.11015452
704,7.31000000,74.25654987,-16.66797269,102.55207677,-16.40078453,464.18692085,315.91909407,261.39983473,239.09874780,455.92831559,304.13328078,0.39306968,0.12391346,0.07019510,0.05371836,0.37246077,0.11055609
705,7.32000000,74.29958756,-16.66721573,102.66692937,-16.44441951,464.20083150,315.95950970,261.43066625,239.13245463,456.22692788,304.63932011,0.39256799,0.12379167,0.07012401,0.05366767,0.37268326,0.11095708
706,7.33000000,74.34257652,-16.66645173,102.78176273,-16.48807052,464.21462609,315.99976265,261.46137394,239.16602531,456.52513683,305.14414284,0.39206738,0.12367004,0.07005302,0.05361702,0.37290511,0.11135747
707,7.34000000,74.38551684,-16.66568075,102.89657691,-16.53173751,464.22830501,316.03985341,261.49195817,239.19946026,456.82294407,305.64775637,0.39156784,0.12354857,0.06998213,0.05356644,0.37312632,0.11175727
708,7.35000000,74.42840862,-16.66490281,103.01137196,-16.57542044,464.24186865,316.07978247,261.52241931,239.23275989,457.12035119,306.15016800,0.39106937,0.12342725,0.06991135,0.05351590,0.37334690,0.11215648
709,7.36000000,74.47125196,-16.66411794,103.12614795,-16.61911927,464.25531738,316.11955030,261.55275773,239.26592461,457.41735979,306.65138498,0.39057197,0.12330607,0.06984066,0.05346542,0.37356685,0.11255511
710,7.37000000,74.51404695,-16.66332617,103.24090492,-16.66283394,464.26865160,316.15915740,261.58297379,239.29895482,457.71397144,307.15141449,0.39007563,0.12318506,0.06977007,0.05341499,0.37378618,0.11295314
711,7.38000000,74.55679369,-16.66252753,103.35564294,-16.70656441,464.28187167,316.19860423,261.61306785,239.33185093,458.01018770,307.65026362,0.38958035,0.12306419,0.06969958,0.05336461,0.37400488,0.11335058
712,7.39000000,74.59949228,-16.66172205,103.47036204,-16.75031063,464.29497799,316.23789128,261.64304026,239.36461334,458.30601013,308.14793942,0.38908612,0.12294348,0.06962919,0.05331429,0.37422297,0.11374743
713,7.40000000,74.64214281,-16.66090976,103.58506230,-16.79407257,464.30797092,316.27701901,261.67289140,239.39724245,458.60144028,308.64444884,0.38859295,0.12282292,0.06955890,0.05326402,0.37444044,0.11414369
714,7.41000000,74.68474538,-16.66009070,103.69974375,-16.83785017,464.32085084,316.31598791,261.70262161,239.42973866,458.89647968,309.13979879,0.38810083,0.12270251,0.06948871,0.05321380,0.37465729,0.11453937
715,7.42000000,74.72730008,-16.65926489,103.81440647,-16.88164340,464.33361813,316.35479842,261.73223124,239.46210237,459.19112985,309.63399610,0.38760976,0.12258225,0.06941861,0.05316364,0.37487354,0.11493445
716,7.43000000,74.76980700,-16.65843236,103.92905049,-16.92545220,464.34627314,316.39345103,261.76172065,239.49433396,459.48539230,310.12704754,0.38711972,0.12246215,0.06934862,0.05311353,0.37508918,0.11532895
717,7.44000000,74.81226625,-16.65759315,104.04367587,-16.96927653,464.35881624,316.43194619,261.79109019,239.52643383,459.77926853,310.61895981,0.38663073,0.12234219,0.06927872,0.05306347,0.37530421,0.11572286
718,7.45000000,74.85467792,-16.65674727,104.15828266,-17.01311635,464.37124781,316.47028436,261.82034021,239.55840238,460.07276004,311.10973956,0.38614278,0.12222239,0.06920892,0.05301346,0.37551865,0.11611619
719,7.46000000,74.89704210,-16.65589476,104.27287093,-17.05697162,464.38356820,316.50846600,261.84947105,239.59023998,460.36586831,311.59939335,0.38565585,0.12210273,0.06913922,0.05296351,0.37573249,0.11650893
720,7.47000000,74.93935889,-16.65503565,104.38744071,-17.10084229,464.39577778,316.54649158,261.87848306,239.62194702,460.65859480,312.08792770,0.38516996,0.12198323,0.06906962,0.05291361,0.37594573,0.11690108
721,7.48000000,74.98162837,-16.65416997,104.50199206,-17.14472832,464.40787690,316.58436153,261.90737658,239.65352388,460.95094098,312.57534907,0.38468509,0.12186388,0.06900012,0.05286376,0.37615838,0.11729265
722,7.49000000,75.02385064,-16.65329775,104.61652503,-17.18862967,464.41986592,316.62207631,261.93615195,239.68497095,461.24290829,313.06166386,0.38420125,0.12174468,0.06893071,0.05281397,0.37637044,0.11768363
723,7.50000000,75.06602580,-16.65241900,104.73103967,-17.23254629,464.43174520,316.65963637,261.96480952,239.71628861,461.53449819,313.54687838,0.38371842,0.12162562,0.06886140,0.05276423,0.37658192,0.11807403
724,7.51000000,75.10815394,-16.65153377,104.84553604,-17.27647813,464.44351508,316.69704216,261.99334960,239.74747723,461.82571208,314.03099893,0.38323661,0.12150672,0.06879218,0.05271454,0.37679281,0.11846385
725,7.52000000,75.15023515,-16.65064208,104.96001419,-17.32042517,464.45517592,316.73429412,262.02177256,239.77853718,462.11655141,314.51403171,0.38275582,0.12138797,0.06872307,0.05266490,0.37700313,0.11885308
726,7.53000000,75.19226952,-16.64974396,105.07447416,-17.36438736,464.46672806,316.77139268,262.05007870,239.80946885,462.40701758,314.99598289,0.38227603,0.12126937,0.06865404,0.05261532,0.37721286,0.11924174
727,7.54000000,75.23425715,-16.64883944,105.18891600,-17.40836464,464.47817186,316.80833830,262.07826838,239.84027259,462.69711199,315.47685857,0.38179726,0.12115091,0.06858512,0.05256579,0.37742203,0.11962981
728,7.55000000,75.27619812,-16.64792853,105.30333977,-17.45235699,464.48950766,316.84513140,262.10634192,239.87094879,462.98683603,315.95666480,0.38131948,0.12103261,0.06851629,0.05251631,0.37763062,0.12001729
729,7.56000000,75.31809253,-16.64701128,105.41774552,-17.49636437,464.50073579,316.88177243,262.13429964,239.90149781,463.27619109,316.43540757,0.38084271,0.12091445,0.06844756,0.05246689,0.37783864,0.12040420
730,7.57000000,75.35994048,-16.64608771,105.53213329,-17.54038672,464.51185661,316.91826181,262.16214189,239.93192001,463.56517854,316.91309282,0.38036693,0.12079644,0.06837893,0.05241752,0.37804610,0.12079053
731,7.58000000,75.40174204,-16.64515784,105.64650313,-17.58442401,464.52287045,316.95459997,262.18986897,239.96221575,463.85379974,317.38972642,0.37989215,0.12067858,0.06831039,0.05236820,0.37825299,0.12117628
732,7.59000000,75.44349732,-16.64422170,105.76085510,-17.62847620,464.53377765,316.99078734,262.21748121,239.99238541,464.14205605,317.86531422,0.37941836,0.12056087,0.06824194,0.05231893,0.37845933,0.12156145
733,7.60000000,75.48520639,-16.64327932,105.87518924,-17.67254324,464.54457853,317.02682435,262.24497895,240.02242933,464.42994882,318.33986199,0.37894555,0.12044330,0.06817359,0.05226971,0.37866510,0.12194604
734,7.61000000,75.52686936,-16.64233073,105.98950560,-17.71662511,464.55527345,317.06271143,262.27236249,240.05234788,464.71747939,318.81337546,0.37847374,0.12032589,0.06810534,0.05222055,0.37887032,0.12233005
735,7.62000000,75.56848632,-16.64137595,106.10380423,-17.76072175,464.56586272,317.09844898,262.29963215,240.08214142,465.00464908,319.28586030,0.37800290,0.12020862,0.06803718,0.05217144,0.37907499,0.12271349
736,7.63000000,75.61005735,-16.64041500,106.21808518,-17.80483312,464.57634668,317.13403744,262.32678826,240.11181029,465.29145921,319.75732213,0.37753304,0.12009150,0.06796911,0.05212238,0.37927911,0.12309635
737,7.64000000,75.65158254,-16.63944792,106.33234849,-17.84895919,464.58672565,317.16947722,262.35383113,240.14135485,465.57791110,320.22776654,0.37706416,0.11997452,0.06790114,0.05207338,0.37948269,0.12347864
738,7.65000000,75.69306198,-16.63847473,106.44659422,-17.89309992,464.59699997,317.20476873,262.38076107,240.17077545,465.86400604,320.69719905,0.37659625,0.11985769,0.06783327,0.05202442,0.37968571,0.12386035
739,7.66000000,75.73449576,-16.63749545,106.56082240,-17.93725527,464.60716995,317.23991239,262.40757840,240.20007244,466.14974534,321.16562514,0.37612931,0.11974101,0.06776549,0.05197552,0.37988820,0.12424148
740,7.67000000,75.77588397,-16.63651012,106.67503309,-17.98142519,464.61723592,317.27490861,262.43428342,240.22924617,466.43513027,321.63305023,0.37566333,0.11962447,0.06769780,0.05192667,0.38009015,0.12462204
741,7.68000000,75.81722671,-16.63551875,106.78922634,-18.02560966,464.62719820,317.30975780,262.46087646,240.25829699,466.72016212,322.09947970,0.37519832,0.11950808,0.06763021,0.05187788,0.38029156,0.12500203
742,7.69000000,75.85852405,-16.63452138,106.90340219,-18.06980862,464.63705711,317.34446037,262.48735780,240.28722522,467.00484216,322.56491890,0.37473427,0.11939184,0.06756271,0.05182913,0.38049244,0.12538145
743,7.70000000,75.89977608,-16.63351802,107.01756068,-18.11402204,464.64681296,317.37901671,262.51372777,240.31603123,467.28917165,323.02937311,0.37427118,0.11927574,0.06749530,0.05178044,0.38069279,0.12576029
744,7.71000000,75.94098290,-16.63250870,107.13170187,-18.15824989,464.65646608,317.41342724,262.53998666,240.34471535,467.57315183,323.49284757,0.37380904,0.11915979,0.06742799,0.05173180,0.38089261,0.12613857
745,7.72000000,75.98214459,-16.63149345,107.24582580,-18.20249212,464.66601677,317.44769235,262.56613479,240.37327792,467.85678396,323.95534747,0.37334785,0.11904398,0.06736077,0.05168321,0.38109190,0.12651627
746,7.73000000,76.02326123,-16.63047229,107.35993251,-18.24674869,464.67546536,317.48181245,262.59217244,240.40171927,468.14006927,324.41687798,0.37288761,0.11892832,0.06729365,0.05163467,0.38129066,0.12689340
747,7.74000000,76.06433293,-16.62944525,107.47402206,-18.29101958,464.68481214,317.51578793,262.61809993,240.43003974,468.42300900,324.87744420,0.37242832,0.11881280,0.06722661,0.05158619,0.38148891,0.12726997
748,7.75000000,76.10535975,-16.62841235,107.58809449,-18.33530473,464.69405743,317.54961919,262.64391755,240.45823967,468.70560436,325.33705119,0.37196997,0.11869743,0.06715967,0.05153776,0.38168664,0.12764597
749,7.76000000,76.14634180,-16.62737362,107.70214983,-18.37960411,464.70320154,317.58330661,262.66962559,240.48631938,468.98785656,325.79570398,0.37151255,0.11858220,0.06709282,0.05148938,0.38188385,0.12802140
750,7.77000000,76.18727915,-16.62632907,107.81618815,-18.42391769,464.71224477,317.61685060,262.69522437,240.51427921,469.26976682,326.25340754,0.37105608,0.11846711,0.06702607,0.05144105,0.38208055,0.12839626
751,7.78000000,76.22817190,-16.62527874,107.93020947,-18.46824543,464.72118742,317.65025154,262.72071416,240.54211949,469.55133633,326.71016682,0.37060054,0.11835217,0.06695940,0.05139277,0.38227673,0.12877056
752,7.79000000,76.26902012,-16.62422265,108.04421386,-18.51258728,464.73002981,317.68350982,262.74609527,240.56984054,469.83256629,327.16598670,0.37014593,0.11823738,0.06689283,0.05134454,0.38247241,0.12914429
753,7.80000000,76.30982391,-16.62316082,108.15820134,-18.55694322,464.73877222,317.71662582,262.77136798,240.59744269,470.11345788,327.62087203,0.36969224,0.11812272,0.06682635,0.05129637,0.38266758,0.12951746
754,7.81000000,76.35058335,-16.62209327,108.27217197,-18.60131320,464.74741497,317.74959993,262.79653259,240.62492627,470.39401227,328.07482765,0.36923948,0.11800821,0.06675996,0.05124825,0.38286225,0.12989006
755,7.82000000,76.39129853,-16.62102003,108.38612579,-18.64569720,464.75595834,317.78243254,262.82158939,240.65229159,470.67423063,328.52785830,0.36878765,0.11789384,0.06669366,0.05120018,0.38305641,0.13026210
756,7.83000000,76.43196952,-16.61994112,108.50006285,-18.69009516,464.76440264,317.81512401,262.84653866,240.67953898,470.95411412,328.97996874,0.36833673,0.11777962,0.06662746,0.05115216,0.38325007,0.13063358
757,7.84000000,76.47259643,-16.61885657,108.61398318,-18.73450706,464.77274816,317.84767473,262.87138069,240.70666876,471.23366391,329.43116365,0.36788673,0.11766554,0.06656134,0.05110419,0.38344324,0.13100450
758,7.85000000,76.51317932,-16.61776640,108.72788683,-18.77893287,464.78099519,317.88008509,262.89611577,240.73368124,471.51288114,329.88144769,0.36743765,0.11755160,0.06649532,0.05105628,0.38363591,0.13137485
759,7.86000000,76.55371829,-16.61667063,108.84177385,-18.82337253,464.78914403,317.91235544,262.92074417,240.76057675,471.79176694,330.33082547,0.36698947,0.11743780,0.06642939,0.05100841,0.38382808,0.13174465
760,7.87000000,76.59421342,-16.61556928,108.95564427,-18.86782602,464.79719496,317.94448617,262.94526619,240.78735559,472.07032245,330.77930158,0.36654220,0.11732414,0.06636354,0.05096060,0.38401977,0.13211389
761,7.88000000,76.63466479,-16.61446238,109.06949815,-18.91229331,464.80514828,317.97647765,262.96968211,240.81401809,472.34854880,331.22688055,0.36609584,0.11721063,0.06629779,0.05091284,0.38421097,0.13248256
762,7.89000000,76.67507249,-16.61334995,109.18333552,-18.95677435,464.81300427,318.00833025,262.99399220,240.84056455,472.62644711,331.67356689,0.36565038,0.11709725,0.06623213,0.05086513,0.38440168,0.13285069
