,nB/n0,sigma field (MeV),rho field (MeV),omega field (MeV),phi field (MeV),Neutron kF (MeV),Proton kF (MeV),electron kF (MeV),Lambda kF (MeV),Sigma_0 kF (MeV),Neutron frac,Proton frac,electron frac,Lambda frac,Sigma_0 frac
0,0.27,7.941192996047453,-2.247962062342511,4.514730039865717,1.326330335329605e-29,210.42693750605648,43.23831421767176,43.23831421767176,0.0,0.0,0.9913989649578433,0.008601035042156825,0.008601035042156825,0.0,0.0
1,0.28,8.199099316427862,-2.329050185009597,4.681942263564447,-1.2351496297747749e-27,212.96061439600746,44.528049189926065,44.528049189926065,0.0,0.0,0.9909416062150168,0.0090583937849833,0.0090583937849833,0.0,0.0
2,0.29000000000000004,8.455030306785874,-2.409948814854623,4.849154487263179,-4.714162904056419e-28,215.43260017787856,45.80903279830858,45.80903279830858,0.0,0.0,0.9904772235261369,0.009522776473863287,0.009522776473863287,0.0,0.0
3,0.30000000000000004,8.70902968154591,-2.4906553773766786,5.016366710961909,-4.098195772134827e-28,217.84635038606336,47.081534339750924,47.081534339750924,0.0,0.0,0.990006012784212,0.009993987215788223,0.009993987215788223,0.0,0.0
4,0.31000000000000005,8.961139496631478,-2.5711674025814175,5.1835789346606385,-4.761128709911691e-28,220.2050176794201,48.34580112651191,48.34580112651191,0.0,0.0,0.9895281645028843,0.010471835497115745,0.010471835497115745,0.0,0.0
5,0.32000000000000006,9.2114002375028,-2.651482522203964,5.35079115835937,3.271259323798826e-28,222.511487303131,49.602060978371526,49.602060978371526,0.0,0.0,0.9890438641447445,0.010956135855255608,0.010956135855255608,0.0,0.0
6,0.33000000000000007,9.459850901082273,-2.7315984670478635,5.518003382058099,-1.9925008112813474e-28,224.76840742837962,50.85052437125767,50.85052437125767,0.0,0.0,0.9885532924107071,0.011446707589293136,0.011446707589293136,0.0,0.0
7,0.3400000000000001,9.706529072103972,-2.81151306442699,5.68521560575683,-1.984680197493831e-28,226.97821524125575,52.091386298122686,52.091386298122686,0.0,0.0,0.9880566254961906,0.011943374503809402,0.011943374503809402,0.0,0.0
8,0.3500000000000001,9.951470994360282,-2.8912242356993567,5.85242782945556,1.018786325135099e-27,229.14315948296047,53.32482788746478,53.32482788746478,0.0,0.0,0.9875540353188833,0.01244596468111668,0.01244596468111668,0.0,0.0
9,0.3600000000000001,10.194711637274585,-2.970729993883554,6.019640053154291,-6.05171426526268e-29,231.26532001082194,54.551017816661265,54.551017816661265,0.0,0.0,0.9870456897220895,0.012954310277910752,0.012954310277910752,0.0,0.0
